time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.9191953436265624e-07,-2.1584999350463416e-08,10.000178886542633,6.282822985823886,0.00031184826007013555,0.0,-2.4896542781421083e-05,-1.3046867794718446e-05,0.005962788433707555,-0.022236778278523554,0.013967154045516496,0.0,405.2802730420326,406.53340824009393,407.03036513673925,405.0358289929017
0.12000000000000001,-1.3644698696293964e-05,-1.4783674275966918e-05,10.005836437476685,6.2815014043116015,0.0018943210858415327,0.0,-0.0005657924686290403,-0.0006295510293721539,0.1826095392954142,-0.021609205110644496,0.043780172334910016,0.0,458.26734836601844,460.6307143718146,461.6796713544494,461.72914902862584
0.18,-9.826767948468325e-05,-9.357884263451143e-05,10.020420669120893,6.280095936107532,0.0041373347809905425,0.0,-0.002515875898352845,-0.0021386185436156283,0.30350540833880846,-0.0273269944282785,0.019803158725844212,0.0,444.6019421235408,442.63407892675895,443.6779652464207,443.208295934638
0.23999999999999996,-0.0003453960447230955,-0.00029662618924411916,10.043019172224131,6.278534965132284,0.005441812906600951,0.0,-0.005857484958792044,-0.0048035355815685635,0.4497299399691792,-0.02351594724349041,0.02535990699942956,0.0,451.05258484751255,451.50105097793374,451.4705332182336,451.77774574778675
0.3,-0.0008507212864249056,-0.0007160401148844338,10.079067868308526,6.2771714306629285,0.007526891898889332,0.0,-0.011229828445402388,-0.009359135750327098,0.7517416054530646,-0.021190069019136892,0.04890952385032196,0.0,496.16643219050724,497.8924360785674,497.17292838625343,497.34330847047664
0.36000000000000004,-0.001684625312910661,-0.001401556829471402,10.12636403421726,6.275464402695373,0.01027913462651231,0.0,-0.016846060798012177,-0.013630373887015913,0.8247436727141219,-0.04977864688558863,0.03897228030395414,0.0,428.72000920935506,427.87626897930147,430.6192279081574,428.193951377239
0.4200000000000001,-0.002983639091465774,-0.002441108408139378,10.18510335609713,6.273048820483929,0.012547391545251863,0.0,-0.026757788576385735,-0.021371731368422985,1.1329736617123274,-0.025955617553287028,0.03536012337064341,0.0,499.95544122927106,499.6927347716091,498.01981705451095,499.7582678105895
0.48000000000000015,-0.0049464126744235256,-0.004011290129436788,10.263034392115195,6.271127841924624,0.014647050973221276,0.0,-0.038950892638312126,-0.031195104921098157,1.4643571404683537,-0.04829262647888791,0.034252659754091336,0.0,505.7297860423503,505.65038292117777,507.7453764221971,506.1401927300283
0.5400000000000001,-0.007561721348449948,-0.006115885044429041,10.351736060611376,6.268351482387343,0.016937161087785313,0.0,-0.04842490001794298,-0.03921644209436533,1.492322052902941,-0.042512402235892935,0.04503039803914504,0.0,415.1020754535623,416.0475116794815,415.4337943925538,415.93883595474216
0.6000000000000002,-0.010797273100350417,-0.00875794698805528,10.442500783056921,6.265424246381244,0.02022333639627849,0.0,-0.059709693722395665,-0.049102530111597494,1.5331050205642662,-0.06588288701264239,0.06932369819258366,0.0,419.13326416228796,421.2411992294666,420.8185177062259,418.78899961167303
0.6600000000000003,-0.014903825519268185,-0.012165333007060844,10.541783791031303,6.261723275544977,0.024209307792721013,0.0,-0.07767064620011531,-0.0649402891517832,1.7759626030845448,-0.05438746257774164,0.059916853764869125,0.0,482.5951836672547,481.887574637941,482.20260017018,483.0676894579199
0.7200000000000003,-0.02015040897196239,-0.016581755799121144,10.654246967894192,6.258520725181507,0.027623860677882917,0.0,-0.09761615463840383,-0.08264238009636796,1.9724713098833833,-0.05142640842990596,0.05009225964479648,0.0,469.59517201347387,468.8345258048588,469.97848358392645,470.20620634696417
0.7800000000000004,-0.026650927911608262,-0.022116000624095803,10.777756128783654,6.255709158756719,0.030211543804634644,0.0,-0.1193811067265028,-0.10215509988215074,2.1441745807940094,-0.03901242837473539,0.02315991774248767,0.0,463.3942926536102,461.27332723297985,463.09159936286585,464.06574105475875
0.8400000000000004,-0.03435233270171374,-0.028737636951330137,10.90638097236562,6.252990510890228,0.03229026686193759,0.0,-0.13748942557831245,-0.11878242231750402,2.143308509569072,-0.06249931094074356,0.051104877445177485,0.0,407.4092939071389,409.9007377062757,409.37603269727407,407.2792767888179
0.9000000000000005,-0.04344065794983973,-0.03665175435608202,11.042819839548095,6.249767860786079,0.034874772859520675,0.0,-0.16580535183145723,-0.14543870231087402,2.4041126730916527,-0.04026091290110434,0.017750058861102574,0.0,491.4692275529161,488.9916571618126,488.4023036649293,490.0562568675362
0.9600000000000005,-0.05405954988236561,-0.0460249877271288,11.188502229013702,6.24749328634284,0.035888263519055386,0.0,-0.18825272433942805,-0.1672198183280725,2.4518507718658946,-0.03357996458807501,0.015116734971659388,0.0,425.59584702759395,425.37033799827174,426.1924988599447,426.762359821126
1.0200000000000005,-0.06614218087208316,-0.05684486628929231,11.339759211455652,6.2457376814135195,0.03681320231899221,0.0,-0.214589971683163,-0.19363371976777569,2.58973056288982,-0.021781655620103174,0.016006842093483246,0.0,454.56747706968554,454.63869266129456,454.48712729123355,455.4314855781153
1.0800000000000005,-0.07968644389432791,-0.06914360291126757,11.495528682071626,6.2445258887074075,0.03780617682552112,0.0,-0.23697227926063402,-0.21643559787399752,2.6025439662941032,-0.01720142597245829,0.01761346756009734,0.0,415.10486258924266,415.24575901268946,415.35978654646897,415.76126419669225
