episode,x,y,z,x_velocity,y_velocity,z_velocity,reward
1,10.99708132032923,-4.332136983973391,0.0,11.109865696212209,-3.9447363765949235,-8.424569653356414,2.6514321929345996
2,-0.37877922630239336,0.03128486962374516,0.0,0.16021153297081964,0.16987644864814594,-2.3337277134837326,1.2923934859304365
3,-0.039340926400987054,0.0008160228150066243,0.0,-0.5295747654869762,-0.26796998382666165,-0.6326945805702053,2.250827892939357
4,-0.0403639089608237,-0.0007927748135833071,0.0,-0.32160884341838447,-0.013005480162615879,-0.7533802400015466,2.1319805226956063
5,-0.043886166750771276,-0.004537937462637052,0.0,-0.761294312782006,-0.04026226522153585,-0.9699707759185185,1.9353966535160838
6,-0.010223046023109283,-0.002608145164029793,0.0,-0.3667552428901611,-0.2834572533613371,-0.3814665603543495,2.294670058936295
7,-0.0079982629583878,-0.00489844587906954,0.0,-0.13524769178248364,-0.3534019481319095,-0.34264024056614883,2.2207060072624385
8,-0.005144174928429928,-0.006140891926033165,0.0,0.06492061514818864,-0.26407660723862636,-0.3409417839748828,2.1559695508347803
9,-0.002748144226970912,-0.006826596441787922,0.0,0.14282567952580755,-0.13494057092840536,-0.4455235342202178,2.1041949566979294
10,-0.0011886119695334813,-0.007348336914373333,0.0,0.10871122413967328,-0.05836535663100889,-0.5561846756906372,2.067224739336486
11,-6.209681908354847e-05,-0.007483628675133117,0.0,0.021850399923016177,-0.015372715873933851,-0.5990250210497322,2.041602108470963
12,0.0010966112668654906,-0.007485421619045635,0.0,-0.0803900750839063,-0.01621479679424498,-0.5651434852024236,2.019650751275564
13,0.0026369110846663703,-0.00760041164461886,0.0,-0.15351383624864762,-0.08461781902079074,-0.46837190691590264,1.9992301452199368
14,0.004791400345364191,-0.007863610510264931,0.0,-0.1526888753701977,-0.21659626933079648,-0.34639982581241735,1.9797710451498391
15,0.04484360779816607,-0.013662563660658314,0.0,1.3689373314783526,0.029435722799098236,-1.1717033791865317,1.2594288910894806
16,0.024609652198001673,-0.01108377315117979,0.0,0.7020268825241008,0.11707504563414252,-1.335426075297872,1.2374319633469373
17,0.01751088296808748,-0.006260994236554569,0.0,0.35860780579508234,0.35698966256412623,-1.2750636850351065,1.2365846155797826
18,0.016608037239912225,-0.0029539329899631213,0.0,0.2284580484904421,0.5507950121706362,-0.9658830116996007,1.2480852083417702
19,0.014593913942426009,-0.0019739108700501957,0.0,0.05811429248179428,0.6348434185833038,-0.6586162083286389,1.255972633375555
20,0.014726139601467847,-0.004585505890490833,0.0,-0.1014233526206591,0.5209651955536978,-0.4191663444827328,1.2606866298243347
21,0.014878298441252007,-0.0028312842637226473,0.0,-0.11483505411146055,0.44723749167665283,-0.2627985288542969,1.268623127734415
22,0.018288245364251884,0.007555796187155662,0.0,0.38687802728314047,0.47048815227484797,-0.08802880243769218,1.2971833859517015
23,0.04316295180666689,0.011556060299185827,0.0,1.3787683988278983,0.2683872409094774,-0.3218134450032858,1.344321585594059
24,0.0025427530753524765,-0.0009124923607028942,0.0,-0.17112578238180637,0.04657549800966336,-0.1108834173574379,2.0999880188636215
25,0.000162856978869121,-0.0006687247704602582,0.0,0.006889507656960416,0.07537075908333736,-0.016595995801480468,2.14065068845911
26,-0.0022481658311380138,-0.0008410118642050511,0.0,0.18287426891382677,0.04033422048779726,-0.12444614732043074,2.184709210645728
27,-0.005581707143015923,-0.0012541833390897067,0.0,0.197575128306743,-0.02814434950679712,-0.3586429942797318,2.229126600791566
28,-0.009835045704410766,-0.0015712215782304792,0.0,0.017738462916485287,-0.09235021888570195,-0.5683431228173607,2.27281245828949
29,-0.022633639603027726,-0.004318199897318365,0.0,-0.09263566583068428,-0.24435303531678776,-1.3253057063980247,1.8671183538182534
30,-0.043028708822098645,-0.014567168983016533,0.0,0.33171649290175065,-0.0057824713345599466,-0.8227158410506203,2.0864234426005215
31,-0.2929174554553029,-0.10114069458307469,0.0,-2.331076026157998,-2.470220773170856,-3.954340513259077,2.189197705130599
32,-54.84590619418222,73.73234491101627,0.0,8.308343279767266,32.236282382463195,-19.85579450423531,1.7101139644257295
33,-0.33848241611098984,0.237362125870086,0.0,-3.47667466613801,0.3579106722656897,-1.4254805266325188,-1.374530857877279
34,-0.3511365969982346,0.23556643618381454,0.0,-3.5275954650690213,0.35450738591835385,-1.412447287450937,-1.3754058314956095
35,-0.35648418932685405,0.2392650555104688,0.0,-3.5436202635949323,0.38257786538930716,-1.3957419355303915,-1.3764526368800942
36,-0.35359099078168593,0.24167873265071255,0.0,-3.52874588509955,0.3994389156319145,-1.4104803488071969,-1.3758469114518985
37,-0.35531672178736534,0.2381567835367971,0.0,-3.5458842920938713,0.35975643139017677,-1.4583560914533502,-1.374568784263932
38,-0.35406311360071313,0.24288578391011328,0.0,-3.541483993975146,0.38240397924255404,-1.4459338601659375,-1.3758660991036478
39,-0.3571382414243782,0.23510383909350965,0.0,-3.5426640027871548,0.36866050426705094,-1.4113664327221733,-1.3752665921306293
40,-0.357887109402885,0.24057148294449243,0.0,-3.545648968857039,0.3968059746331186,-1.3831770007457145,-1.3767659542636785
41,-0.36082537268799847,0.24642967275216518,0.0,-3.554583451347236,0.42923467260979825,-1.3710229029875804,-1.377691369956962
42,-0.3589641447992133,0.2419843627237426,0.0,-3.5538975649787012,0.393040639378409,-1.4013850444033673,-1.376182909307823
43,-0.3538270567102192,0.24633674247299045,0.0,-3.5191736841292864,0.4352983935915728,-1.3645889478954718,-1.3769743293340975
44,-0.3631533287918756,0.238281991456565,0.0,-3.5664970470547503,0.3901670034749944,-1.3735756228974312,-1.3762779784134052
45,-0.3545507955153095,0.2375576478076339,0.0,-3.5372280376593475,0.37135772675917605,-1.4430359223456741,-1.3747936980947058
46,-0.35901910145019517,0.24253293280726776,0.0,-3.5473037082165657,0.41228468356729553,-1.3727896364653784,-1.3772392212992162
47,-0.35916063432447265,0.23551443643921924,0.0,-3.5530693920718597,0.37398109703620264,-1.3930368371626571,-1.3758736162123975
48,-0.35272982852158113,0.24049761830194466,0.0,-3.5313155526419613,0.3755019933489455,-1.437015413150425,-1.3756398790262878
49,-0.36295237200786923,0.23458581912060913,0.0,-3.5525691048403307,0.39102720309969746,-1.3579703824929634,-1.375862202649833
50,-0.3533717577019276,0.23470985785525006,0.0,-3.5341235467020224,0.3549448814717424,-1.4630924268601415,-1.3740530665238677
51,-0.36163526049135625,0.23780319935239666,0.0,-3.5649411338241395,0.3819529430558249,-1.4152109535205584,-1.3757218081203646
52,-0.3599936580091554,0.23987906005336193,0.0,-3.561608938548835,0.38648383029105043,-1.4018774680779755,-1.3763620622453687
53,-0.3588653259672704,0.24031916246700313,0.0,-3.5539786509032973,0.3869103604275226,-1.4134045615862552,-1.3757433412444406
54,-0.35383551091257825,0.23780178827558804,0.0,-3.5278940310237656,0.3849305702270121,-1.396431903896298,-1.3758776533149892
55,-0.3590641055762198,0.2390385287720374,0.0,-3.5485547717244836,0.39238257139712784,-1.3983776405965807,-1.3757136027133379
56,-0.35626818349352996,0.24287755352138846,0.0,-3.5469408252121455,0.39087297364191614,-1.4345028533183193,-1.3755818630842234
